Genres,Film Count,Average Ratings
"Adventure,Animation,Western",3,54.6666666666667
"Adventure,Biography,Romance",3,61.3333333333333
"Adventure,Biography,Short",3,77.3333333333333
"Adventure,Biography,War",3,62
"Adventure,Crime,Western",3,53
"Adventure,Musical,Sci-Fi",3,71
"Adventure,Mystery,War",3,53.3333333333333
"Adventure,Mystery,Western",3,57.3333333333333
"Adventure,News",3,82.6666666666667
"Adventure,Romance,Sport",3,63
"Animation,Crime",3,72.6666666666667
"Animation,Documentary,Mystery",3,77.6666666666667
"Animation,History,Romance",3,76
"Animation,Reality-TV",3,76
"Animation,Sci-Fi,Sport",3,75.3333333333333
"Biography,Family,Music",3,65.6666666666667
"Biography,Fantasy,Music",3,66
"Biography,History,Musical",3,85.6666666666667
"Biography,Horror,Mystery",3,63.6666666666667
"Biography,Music,Reality-TV",3,85.3333333333333
"Biography,Musical,Romance",3,61.6666666666667
"Biography,Musical,Short",3,64.3333333333333
"Biography,Reality-TV,Short",3,69.3333333333333
"Biography,Western",3,60.3333333333333
"Comedy,Crime,News",3,71
"Comedy,Game-Show,Sci-Fi",3,77.3333333333333
"Comedy,History,News",3,75.3333333333333
"Comedy,History,Sport",3,67.6666666666667
"Comedy,Horror,News",3,78.6666666666667
"Comedy,Music,Thriller",3,58.6666666666667
"Comedy,Reality-TV,Thriller",3,78.6666666666667
"Comedy,Thriller,War",3,57.3333333333333
"Crime,Documentary,Talk-Show",3,79
"Crime,Drama,Talk-Show",3,86.3333333333333
"Crime,Family,Music",3,61.3333333333333
"Crime,Film-Noir",3,60
"Crime,History,Horror",3,62.3333333333333
"Crime,Music",3,54.3333333333333
"Crime,Music,Romance",3,68.3333333333333
"Crime,Music,Short",3,68
"Crime,Musical,Thriller",3,58
"Documentary,Family,Talk-Show",3,60.6666666666667
"Documentary,Family,Western",3,77
"Documentary,Fantasy,Sci-Fi",3,61.3333333333333
"Documentary,Horror,War",3,60.6666666666667
"Documentary,Musical,Romance",3,45.3333333333333
"Documentary,Mystery,News",3,70
"Documentary,News,Romance",3,72.3333333333333
"Documentary,War,Western",3,68
"Drama,Family,News",3,73.3333333333333
"Drama,Music,News",3,69.6666666666667
"Drama,Musical,Sci-Fi",3,53.6666666666667
"Drama,Musical,Sport",3,69.6666666666667
"Drama,Mystery,News",3,66
"Drama,News,Romance",3,79.6666666666667
"Family,Game-Show,Romance",3,92.6666666666667
"Family,History,Musical",3,72
"Family,History,Reality-TV",3,75
"Family,Music,Sport",3,81.3333333333333
"Family,Musical,Reality-TV",3,68.3333333333333
"Family,News,Sport",3,71
"Family,Romance,Thriller",3,68
"Fantasy,Game-Show,Horror",3,81.6666666666667
